TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,TOI int,planet count,Multiplanet System,Single Transit,p_mean,p_sd,r_mean,r_sd,rhat_ok,exo_r
394137592.0,120.01,,3.0,5.0,5.0,3.0,4.0,4.0,4.0,94.2,228.9,0.0,1.0,4.0,CP,CP,7.1062,0.006,,1.0,sector-01-spoc-alerts,SPOC,00:17:47.32,-66:21:32.14,64.763,0.049,-5.056,0.041,2458332.082805,0.000707,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90616,28.935114,12.215808,1.480912,,,32.9,79.5702,0.17345,5479.3,57.0,3.77,0.08,2.48771,0.298399,-0.02,0.09,0.96,0.124471,1,2018-09-05,2021-12-07,2021-12-08 00:00:00,HD 1397 b	,120.0,1.0,False,False,11.535,0.001,0.045,0.001,True,0.04501857739217793
207081058.0,121.01,,5.0,5.0,5.0,5.0,3.0,5.0,5.0,62.4,114.3,1.0,1.0,1.0,PC,APC,9.9358,0.006,,1.0,qlp,UNKNOWN,22:07:28.2,-41:48:55.84,49.561,0.042,-9.678,0.057,2459074.32911,0.01323,14.76367,0.00027,6.143,0.188,15.89148,0.001088,14530.0,1.00224,15.9573,0.764266,234.125,1089.0,119.0,182.169,1.0865,6053.0,193.0,4.3135,0.321619,1.23,0.06,,,1.14,0.149653,"1,28",2018-09-05,2020-10-27,2021-10-29 00:00:00,low-mass EB; initially thought to be a warm Jupiter candidate with a possible secondary,121.0,1.0,False,False,14.774,0.001,0.111,0.001,True,0.1189388182809383
231702397.0,122.01,,2.0,5.0,5.0,2.0,4.0,3.0,4.0,3.8,69.8,11.0,1.0,1.0,CP,CP,13.084,0.007,,1.0,spoc,UNKNOWN,22:11:47.58,-58:56:45.91,138.138,0.089,-235.81,0.076,2458329.120248,0.0009877153,5.07802548638435,1.3443171e-05,1.24141580272646,0.2258655,6.676477,0.506467,6130.39472316019,466.36487,2.70904209639004,0.5059658,8.17432899325454,431.253643983621,11.881052,62.118,0.2158,3318.0,64.0,4.9581,0.407256,0.334125012159348,0.0100409,,,0.315858,0.0202514,"1,27,28",2018-09-05,2021-12-01,2021-12-07 12:08:34,TOI-122 b,122.0,1.0,False,False,5.078,0.0,0.074,0.004,True,0.07433204597980758
290131778.0,123.01,,3.0,5.0,5.0,5.0,4.0,5.0,3.0,213.7,218.7,3.0,21.0,14.0,CP,CP,7.87598,0.011,,1.0,spoc,SPOC/QLP,21:18:47.9,-26:36:58.95,23.236,0.157,-57.557,0.152,2458325.374915,0.00016357683,3.30887730524169,1.385715e-06,5.66213297216762,0.019520499,4.338637,0.021309,3988.05858053433,19.626034,17.2150015234235,0.871801,4557.49824591218,2095.56616207841,185.80734,161.498,2.4235,6188.0,194.0,4.27166,2.00586,2.62391996383667,0.132412,,,1.263,0.201024,"1,28",2018-09-05,2021-10-20,2021-10-29 00:00:00,HD 202772 A b,123.0,1.0,False,False,3.309,0.0,0.06,0.0,True,0.060148638655338434
29831208.0,124.01,,5.0,5.0,5.0,5.0,3.0,5.0,5.0,65.8,245.7,2.0,1.0,1.0,PC,APC,11.1311,0.006,,1.0,qlp,UNKNOWN,04:26:19.83,-67:48:22.87,7.888,0.108,32.653,0.115,2459168.704559,0.0006464,1.842799,2.2e-06,1.573,0.149,2.685086,1.071014,2470.0,985.954,35.2852,,2675.13,2003.0,20.0,809.252,43.8985,5080.0,181.0,4.48159,2.00353,4.09,,,,,,"1,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31",2018-12-04,2021-01-28,2021-10-29 00:00:00,known TOI,124.0,1.0,False,False,1.843,0.0,0.146,0.109,True,0.07909309970819703
52368076.0,125.01,,1.0,5.0,5.0,5.0,4.0,1.0,2.0,6.5,76.1,15.0,6.0,5.0,CP,CP,10.1985,0.006,,1.0,spoc,UNKNOWN,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2458327.445438,0.0017872135,4.65179058475914,2.239795e-05,3.32318411557989,0.16150504,1.078006,0.054492,992.387849564357,50.188103,3.3100151828778,0.227317,180.896545100788,935.356821082475,17.69346,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.852266013622284,0.0497186,,,0.91,0.110203,"1,2,28",2018-10-19,2021-12-02,2021-12-07 12:08:34,TOI-125 b / TOI 125.01,125.0,1.0,True,False,4.652,0.0,0.03,0.004,True,0.03560607780291233
52368076.0,125.02,,2.0,5.0,5.0,5.0,4.0,4.0,2.0,3.8,52.3,15.0,6.0,5.0,CP,CP,10.1985,0.006,,2.0,spoc-s01-s36-b0A-CPKP,SPOC,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2458334.446433,0.0016598101,9.15466210597647,4.3547956e-05,3.0736779855931,0.2111102,1.049855,0.057579,966.485069273326,53.030373,2.95230981567709,0.30252436,73.3501017210813,746.397076482901,14.45497,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.852266013622284,0.0497186,,,0.91,0.110203,"1,2,28",2018-10-19,2021-12-09,2021-12-21 12:05:17,TOI-125 c / TOI-125.02,125.0,2.0,True,False,9.155,0.0,0.03,0.003,True,0.031758214747494434
52368076.0,125.03,,1.0,5.0,5.0,5.0,4.0,4.0,1.0,2.0,38.9,15.0,6.0,5.0,CP,CP,10.1985,0.006,,3.0,spoc-s01-s36-b0A-CPKP,SPOC,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,2458342.850757,0.0024966004,19.9812508989029,0.000113433714,3.0623184102098,0.32725707,1.077791,0.083534,992.189433832835,76.93508,2.87617041435472,0.5839863,25.9075840257071,575.408772086897,9.00047,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.852266013622284,0.0497186,,,0.91,0.110203,"1,2,28",2018-10-19,2021-12-09,2021-12-21 12:05:17,period is likely correct but possibly two independent single transits,125.0,3.0,True,False,19.981,0.0,0.029,0.003,True,0.030939177583745096
70440470.0,126.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,48.2,111.6,0.0,0.0,1.0,KP,KP,12.7923,0.006,,1.0,spoc-s01-s36-b0A-CPKP,UNKNOWN,22:37:57.43,-35:09:15.13,-9.326,0.041,-50.142,0.045,2458326.731096,0.00042044988,3.0353977118465,3.6765503e-06,2.79646779523604,0.059945308,17.566776,0.292171,16049.4120426902,269.06363,13.7911582641848,0.73552907,726.756927372002,1324.2410444956,41.57743,573.027,11.688,5751.0,189.0,4.35036,,1.07223999500275,0.053588,,,1.09,0.142327,"1,28",2018-11-07,2021-12-08,2021-12-09 12:05:06,WASP-12 b,126.0,1.0,False,False,3.035,0.0,0.12,0.003,True,0.11791744502850371
234523599.0,127.01,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,40.6,146.0,3.0,0.0,0.0,CP,CP,14.1266,0.007,,1.0,spoc-s01-s36-b0A-CPKP,SPOC,01:02:12.45,-61:45:22.08,78.858,0.087,-27.095,0.064,2458325.650603,0.00024310609,3.79551778380905,2.2713773e-06,2.01981348473053,0.031575486,58.298733,0.608638,52278.9940978848,560.4189,10.3261619477101,0.33078393,18.0832335970318,525.943113131369,75.709694,140.225,0.86,3424.0,,4.438,,0.445371985435486,0.01356,,,0.44159,0.0205201,"1,2,28,29",2018-11-14,2021-12-09,2021-12-21 12:05:17,HATS-71 b,127.0,1.0,False,False,3.796,0.0,0.216,0.004,True,0.21256186744628705
